"Position","Nickname","Species","Nature","Gender","ESV","HP_Type","Ability","Move1","Move2","Move3","Move4","HeldItem","HP","ATK","DEF","SPA","SPD","SPE","MetLoc","EggLoc","Ball","OT","Version","OTLang","Legal","EncounterType","EC","PID","IV_HP","IV_ATK","IV_DEF","IV_SPA","IV_SPD","IV_SPE","EXP","Level","EV_HP","EV_ATK","EV_DEF","EV_SPA","EV_SPD","EV_SPE","Cool","Beauty","Cute","Smart","Tough","Sheen","NotOT","AbilityNum","GenderFlag","Form","PokerusStrain","PokerusDays","MetLevel","OriginalTrainerGender","FatefulEncounter","IsEgg","IsNicknamed","IsShiny","TID16","SID16","TSV","Move1_PP","Move2_PP","Move3_PP","Move4_PP","Move1_PPUp","Move2_PPUp","Move3_PPUp","Move4_PPUp","Relearn1","Relearn2","Relearn3","Relearn4","Checksum","Friendship","EggYear","EggMonth","EggDay","MetYear","MetMonth","MetDay"
"main @ [21] (Box 21)-06: 0132 - 메타몽 - 241DFE2DF0E5.pk9","메타몽","メタモン","てれや","-","1047","でんき","じゅうなん","へんしん","(なし)","(なし)","(なし)","(なし)","71","43","38","33","43","43","ポケモンイベント","－－－－－－－－－－","プレシャスボール","포켓몬타운","スカーレット","Korean","True","Event Gift (WC9)","FE2DF0E5","3057712D","9","31","17","0","31","31","27000","30","0","0","0","0","0","0","0","0","0","0","0","0","i","1","2","0","0","0","30","0","True","False","False","False","34553","15552","2979","10","0","0","0","0","0","0","0","へんしん","(なし)","(なし)","(なし)","9245","50","1","1","1","2025","4","24"
"main @ [31] (Box 31)-05: 0448 - 루카리오 - 8F498C8DC5F6.pk9","루카리오","ルカリオ","まじめ","M","1983","ドラゴン","ふくつのこころ","はどうだん","しんそく","いやしのはどう","みきり","(なし)","142","117","87","127","83","110","ポケモン映画","－－－－－－－－－－","プレシャスボール","아론","スカーレット","Korean","True","Event Gift (WC9)","8C8DC5F6","DED1A52A","24","5","25","15","17","31","117360","50","0","0","0","0","0","0","0","0","0","0","0","0","i","1","0","0","0","0","50","0","True","False","False","False","12682","15415","219","20","5","10","5","0","0","0","0","はどうだん","しんそく","いやしのはどう","みきり","36681","50","1","1","1","2025","1","21"
"main @ [30] (Box 30)-12: 0553 - ワルビアル - FFAA3AB194CA.pk9","ワルビアル","ワルビアル","ようき","M","1199","あく","いかりのつぼ","じしん","ワイドブレイカー","つけあがる","まもる","こだわりスカーフ","394","271","196","149","176","311","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","3AB194CA","479A0D69","31","31","31","31","31","31","1059860","100","252","6","0","0","0","252","0","0","0","0","0","0","i","4","0","0","0","0","1","0","False","False","False","False","4120","43968","3005","16","24","16","16","3","3","3","3","にらみつける","つけあがる","(なし)","(なし)","65450","255","2026","5","25","2026","5","25"
"main @ [24] (Box 24)-06: 0479-04 - ロトム - 51EA25B6AA73.pk9","ロトム","ロトム","ひかえめ","-","4044","ドラゴン","ふゆう","かげぶんしん","おどろかす","(なし)","(なし)","(なし)","242","121","250","339","250","271","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","25B6AA73","5A39A6FE","31","0","31","31","31","31","1000000","100","6","0","0","252","0","252","0","0","0","0","0","0","i","4","2","4","0","0","1","0","False","False","False","False","4120","43968","3005","15","15","0","0","0","0","0","0","かげぶんしん","おどろかす","(なし)","(なし)","20970","255","2026","5","14","2026","5","14"
"main @ [32] (Box 32)-30: 0479-02 - ロトム - D896B5C34E9D.pk9","ロトム","ロトム","ずぶとい","-","0590","ドラゴン","ふゆう","ハイドロポンプ","ボルトチェンジ","１０まんボルト","おにび","オボンのみ","304","121","344","246","250","209","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","B5C34E9D","1C933876","31","0","31","31","31","31","1000000","100","252","0","252","0","0","6","0","0","0","0","0","0","i","4","2","2","0","0","1","0","False","False","False","False","4120","43968","3005","8","32","24","24","3","3","3","3","かげぶんしん","おどろかす","(なし)","(なし)","55446","255","2026","5","14","2026","5","14"
"main @ [24] (Box 24)-29: 0479-01 - ロトム - 05CF1BD3204A.pk9","ロトム","ロトム","ひかえめ","-","1878","ドラゴン","ふゆう","オーバーヒート","ボルトチェンジ","１０まんボルト","でんじは","たべのこし","304","121","251","339","250","208","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","1BD3204A","F11E8475","31","0","31","31","31","31","1000000","100","252","0","6","252","0","0","0","0","0","0","0","0","i","4","2","1","0","0","1","0","False","False","False","False","4120","43968","3005","8","32","24","32","3","3","3","3","かげぶんしん","おどろかす","(なし)","(なし)","1487","255","2026","5","14","2026","5","14"
"main @ [32] (Box 32)-06: 0479-01 - ロトム - 532CB403FCB7.pk9","ロトム","ロトム","ひかえめ","-","2544","ドラゴン","ふゆう","オーバーヒート","１０まんボルト","ボルトチェンジ","トリック","こだわりスカーフ","242","121","250","339","250","271","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","B403FCB7","241EBB16","31","0","31","31","31","31","1000000","100","6","0","0","252","0","252","0","0","0","0","0","0","i","4","2","1","0","0","1","0","False","False","False","False","4120","43968","3005","8","24","32","16","3","3","3","3","かげぶんしん","おどろかす","(なし)","(なし)","21292","255","2026","5","14","2026","5","14"
"main @ [24] (Box 24)-26: 0479-01 - ロトム - ED2DB2FADD10.pk9","ロトム","ロトム","ひかえめ","-","1424","ドラゴン","ふゆう","オーバーヒート","１０まんボルト","ボルトチェンジ","おにび","オボンのみ","304","121","250","339","250","209","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","B2FADD10","86C4DFC8","31","0","31","31","31","31","1000000","100","252","0","0","252","0","6","0","0","0","0","0","0","i","4","2","1","0","0","1","0","False","False","False","False","4120","43968","3005","8","24","32","24","3","3","3","3","かげぶんしん","おどろかす","(なし)","(なし)","60717","255","2026","5","14","2026","5","14"
"main @ [24] (Box 24)-25: 0479-01 - ロトム - 641ACD593006.pk9","ロトム","ロトム","ひかえめ","-","3837","ドラゴン","ふゆう","オーバーヒート","１０まんボルト","ボルトチェンジ","トリック","こだわりスカーフ","242","121","250","339","250","271","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","CD593006","45A9AA79","31","0","31","31","31","31","1000000","100","6","0","0","252","0","252","0","0","0","0","0","0","i","4","2","1","0","0","1","0","False","False","False","False","4120","43968","3005","8","24","32","16","3","3","3","3","かげぶんしん","おどろかす","(なし)","(なし)","25626","255","2026","5","14","2026","5","14"
"main @ [32] (Box 32)-24: 0479-02 - ロトム - 045E11705269.pk9","ロトム","ロトム","ひかえめ","-","1680","ドラゴン","ふゆう","ハイドロポンプ","ボルトチェンジ","１０まんボルト","トリック","こだわりスカーフ","242","121","250","339","250","271","南１番エリア","ピクニック","モンスターボール","i","スカーレット","Japanese","True","Egg","11705269","F035993B","31","0","31","31","31","31","1000000","100","6","0","0","252","0","252","0","0","0","0","0","0","i","4","2","2","0","0","1","0","False","False","False","False","4120","43968","3005","8","32","24","16","3","3","3","3","かげぶんしん","おどろかす","(なし)","(なし)","1118","255","2026","5","14","2026","5","14"
